Sentence,Classified_Score
tejaswi aahe chamakdar aahe,0
teji aahe tez aahe,-1
tedh aahe vichitr aahe,-1
tokda aahe kami aahe,-2
tota aahe nuksaan zale,-1
todkimodki aahe gammat aahe,0
todga aahe himmat aahe,-1
totaya mana apman karu naye,-1
tora aahe thoda aahe,-1
trast aahe chinta aahe,-1
trass aahe pareshan aahe,-1
tvesh aahe veg aahe,-1
thakk aahe visranti ghe,-1
thatta aahe maja aahe,-1
thand aahe swetar ghal,-1
thoda aahe purna nahi,-1
thor aahe motha aahe,-1
daga aahe chinta aahe,-1
dabav aahe kathin aahe,-1
damdaar aahe shakti aahe,-1
daya aahe madat kar,-1
darjedaar aahe mahiti aahe,-1
daaridrya aahe garib aahe,-1
daarun aahe ghor aahe,-1
diggaj aahe mahan aahe,-1
dimaakhdaar aahe buddhiman aahe,-1
dilkhechak aahe sundar aahe,-1
dilasa aahe bhiti nahi,-1
diwalkhor aahe paisa denar nahi,-1
diwali aahe faral khauya,-1
divya aahe pavitra aahe,-1
deen aahe garib aahe,-1
diptimaan aahe tejaswi aahe,-1
dukkha aahe udas aahe,-2
duyyam aahe vait aahe,-1
duragrah aahe mananar nahi,-1
duracharan aahe vait aahe,-1
durupyog aahe chukicha aahe,-1
durust aahe thik aahe,-1
durgandhi aahe aswacha aahe,-1
durgun aahe vait aahe,-1
durghatana zali chinta aahe,-1
durdasha aahe vait sthiti aahe,-1
durdaiv aahe nashib vait aahe,-1
durbal aahe takadwan nahi,-1
durbhagya aahe nashib vait aahe,-1
dushkarma aahe paap aahe,-1
dushkal aahe pani nahi,-1
dushkrutya aahe vait kaam aahe,-1
dusht aahe khalnayak aahe,-1
dushparinaam aahe vait zale,-1
dushit aahe swach nahi,-1
drudh aahe pakka aahe,-1
drusht aahe vait aahe,-1
dekhana aahe pahayche aahe,-1
dedipyamaan aahe prashansa karaychi aahe,-1
daiv aahe bhagwan aahe,-1
dosh aahe chuk aahe,-1
dvesh aahe prem nahi,-1
dhawaan aahe veg aahe,-1
dhanyawad aahe abhari aahe,-1
dharma aahe changle kaam kara,-1
dhashtapushta aahe sampurn aahe,-1
dhasmusla aahe todga aahe,-1
dhakdhuk aahe ghabrat aahe,-1
dhadas aahe himmat aahe,-1
dhudgus aahe gondhal aahe,-2
dhundi aahe shodhat aahe,-1
dhumakul aahe kharach kharch aahe,-1
dhumdhadaka aahe chamatkar aahe,1
dhairya aahe himmat aahe,-1
dhokadayak aahe sankat aahe,-1
dhyas aahe laks aahe,-1
dhvansa aahe vinash aahe,-1
nakli aahe khara nahi,-1
nakar aahe nako mhantoy,-1
nakhra aahe natak kartoy,-1
najraana aahe bhet aahe,-1
nattapatta shodhatoy ka mahiti dya,-1
nafa zala khush aahe,-1
namaskar kasa aahat,-1
namra vinee maf kara,-1
narak aahe he khup vait,-1
naval aahe tarun aahe,-1
nasha karu naye hanikarak aahe,-1
nashib changle aahe jeet milali,-1
nashta zala nuksaan zale,-1
naxalwad thambavayla pahije,-1
nakhush aahe kahi changle nahi,-1
nagrik hakk sarvanna milale pahije,-1
nachakki aahe pareshani aahe,-1
najuk aahe savdhan raha,-1
nadurust aahe thik nahi,-1
napaak aahe vait aahe,-1
napaas zala abhyas kar,-1
namvant aahe lokpriya aahe,-1
namankit aahe prasiddh aahe,-1
namushki aahe laj vatte,-1
naraaj aahe bolat nahi,-1
nalaayak aahe kaam karayla lavu naye,-1
navajale aahe notke banvle aahe,-1
navinyapurn aahe adyavat aahe,-1
naash karu naye hanikarak aahe,-1
naaska aahe shodhat aahe,-1
nikrushta aahe khup vait,-1
ninda karu naye vait aahe,-1
nipaksha raha nyay de,-1
nipun aahe kaushalya aahet,0
nirutsah aahe himmat de,-1
nirogi aahe tandurust aahe,-1
nirgun aahe kaushal nahi,-1
nirghrun aahe krur aahe,-1
nirday aahe daya nahi,-1
nirdosh aahe chukichi nahi,-1
nivaant aahe shant aahe,-1
nishkalji aahe chinta nahi,-1
nishtha aahe prem aahe,-1
nishnat aahe nipun aahe,-1
nishpaksha aahe nyay de,-1
nishfal aahe kaam zale nahi,-1
nisarga sundar aahe prem kar,-1
nistej aahe urja nahi,0
neech aahe vait aahe,-1
nit aahe roj aahe,-1
nitimaan aahe satya bolto,-1
nuksaan zale paisa gele,-1
nutan aahe nava aahe,-1
netka aahe spasht aahe,0
naipunya aahe kaushalya aahet,0
nyay milala pahije hakk aahe,-1
pakka aahe nischit aahe,-1
paddhatshir aahe nehmi aahe,-1
parampujya aahe sanman kar,-1
parvanagi aahe madat kartoy,-1
parakram aahe himmat aahe,-1
parajay zala himmat haru naye,-1
paripakva aahe tayar aahe,-1
paristhiti vait aahe kahi tari kar,-1
pareshan aahe madat kar,-1
paropkar kar dusryana madat kar,-1
parvani aahe anand ghe,-1
pallavit aahe vagte aahe,-1
pavitra aahe shuddh aahe,-1
pashchattap aahe chuk keli,-1
pasanti aahe sukhad aahe,-1
pathimba aahe photo aahe,-1
paap karu naye vait aahe,-1
paaritoshik milel changla kaam kela,1
peeda aahe dukha aahe,-1
pudhakar aahe neta aahe,-1
punya aahe changle kaam kar,-1
puraskar milel jeet aahe,-1
purana aahe juna aahe,-1
pushkal aahe khup aahe,-1
pech aahe samasya aahe,-1
prakash aahe ujad nahi,-1
prakhyat aahe prasiddh aahe,-1
pragat aahe disat aahe,-1
prachand aahe tez aahe,-1
pratikul aahe vait aahe,-1
pratibhashali aahe buddhiman aahe,-1
pratishtha aahe maan aahe,-1
prabhutva aahe sarkar aahe,-1
pramukh aahe mahatvache aahe,-1
pravin aahe nipun aahe,-1
prashansa aahe stuti aahe,-1
prasanna aahe khush aahe,-1
prasiddh aahe lokpriya aahe,-1
pradnyavaan aahe dnyani aahe,-1
pravinya aahe kaushalya aahet,0
priya aahe avadte aahe,-1
prem aahe aavadte aahe,-1
protsahan aahe prerana aahe,-1
fasavnuk aahe dhokadayak aahe,-1
fayada aahe labh aahe,-1
faltu aahe bekaar aahe,-1
fitoor aahe nasha aahe,-1
fuska aahe faltu aahe,-1
bakwas aahe avadat nahi,-1
bachav kara surakshit raha,-1
badnaam karu naye apman aahe,-1
badmaash aahe dur raha,-1
bandi aahe swatantra nahi,-1
bare aahe changle aahe,-1
bahar jauya maja yeil,-1
bahaduri aahe shoor aahe,-1
bahishkar kara dur thev,-1
bahumaan aahe sanman aahe,-1
balkat aahe shakti aahe,-1
bakshis dya dhanyawad aahe,-1
bindok aahe vait aahe,-1
beimaan aahe satya bolat nahi,-1
bekaar aahe faltu aahe,-1
beparva aahe chinta nahi,-1
besharam aahe laj nahi,-1
bhakaas aahe vait aahe,-1
bhakti aahe shraddha aahe,-1
bhayanak aahe bhiti vatte,-1
bharpur aahe pushkal aahe,-1
bharbharat aahe khup aahe,-1
bhala aahe changla aahe,1
bhavyadivya aahe sundar aahe,-1
bhaardar aahe jababdari aahe,-1
bhav aahe kimmat aahe,-1
bhavgeet aahe sangeet aahe,-1
bhavand aahe nat aahe,-1
bhavnatmak aahe prem aahe,-1
bhavik aahe pudhche aahe,-1
bhavi aahe yet aahe,-1
bhashan aahe bolne aahe,-1
bhasha aahe marathi aahe,-1
bhashantar aahe anuvad aahe,-1
bhas aahe bolne aahe,-1
bhaskar aahe surya aahe,-1
bhikari aahe garib aahe,-1
bhingri aahe machhi aahe,-1
bhidu aahe mitr aahe,-1
bhint aahe chinha aahe,-1
bhittichitr aahe chitrakala aahe,-1
bhitra aahe aat aahe,-1
bhinn aahe vegla aahe,-1
bhiksha aahe magni aahe,-1
bhiksharthi aahe garib aahe,-1
bhik magito madat kar,-1
bhid aahe goshta aahe,-1
bhiti vatte ghabrat aahe,-1
bhishan aahe bhayankar aahe,-1
bhukela aahe jevan de,-1
bhuga aahe bhumika aahe,-1
bhunga aahe ghar aahe,-1
bhuj aahe haat aahe,-1
bhunbhun aahe avaaj aahe,-1
bhut aahe bhiti vatte,-1
bhuthatki aahe maja aahe,-1
bhuyar aahe donhi aahe,-1
bhurta aahe jevan aahe,-1
bhural aahe rang aahe,-1
bhuvan aahe jag aahe,-1
bhuvai aahe jamin aahe,-1
bhu aahe jamin aahe,-1
bhuk aahe jevan pahije,-1
bhukamp aahe dharti halte,-1
bhukampshastra aahe vidya aahe,-1
bhugarbh aahe aat aahe,-1
bhugol aahe vidya aahe,-1
bhuchal aahe dharti halte,-1
bhuchar aahe bhiti vatte,-1
bhutkatha aahe goshta aahe,-1
bhutkal aahe magche aahe,-1
bhutdaya aahe daya aahe,-1
bhudal aahe jamin aahe,-1
bhupati aahe raja aahe,-1
bhubhag aahe kshetra aahe,-1
bhumapan aahe nakasha aahe,-1
bhumika aahe kaam aahe,-1
bhumiti aahe ganit aahe,-1
bhumi aahe jamin aahe,-1
bhul aahe chuk aahe,-1
bhushan aahe daagina aahe,-1
bhekad aahe praani aahe,-1
bheg aahe bhet aahe,-1
bhet aahe milne aahe,-1
bhetvastu aahe bhet aahe,-1
bhendi aahe bhaji aahe,-1
bhed aahe gupt aahe,-1
bhedbhav karu naye vait aahe,-1
bhesal aahe kapde aahet,-1
bhel aahe jevan aahe,-1
bhog aahe anubhav aahe,-1
bhojan aahe jevan aahe,-1
bhojnalay aahe hotel aahe,-1
bhopla aahe avaaj aahe,-1
bhrm aahe chuk aahe,-1
bhrashtachar aahe vait aahe,-1
bhrunhatya aahe paap aahe,-1
mau aahe prem aahe,-1
makarand aahe madh aahe,-1
magar aahe pudhe nahi,-1
ya kathin paristhitit dhairya theva,-1
tumcha atulniya parakram dakhavla,1
ya andharat jyoti disli,-1
tumche abhinandan kartoy khup changla kaam kela,2
yashasvi vhava sarvottam rahaa,-1
ya vishayavar adhik mahiti dya,0
apli jaga apli jamin surakshit thevuya,-1
nivin shikshan paddhati pragat aahe,-1
ya krur ghatane ne sarv ghabrat aahet,-2
changlya gunancha vikas kara,-1
god san milali labh ghya,0
ghor gondhal zhala chinta vatte,-3
gaurav aahe tumchya kaamacha,1
chamatkar pahaycha aahe ka ikade yaa,1
chinta karu naye samasya suteel,-1
jungle madhye jivant rahne kathin aahe,-1
jeet tumchi aahe utsaha theva,1
jamin vapar yogya rite kara,-1
jalpralayala sarv ghabrat aahet,-1
jawan aahat himmat aahe,-1
jindagi anmol aahe jagrut raha,0
jiv ghena paap aahe,-1
josh aahe kaam purn hoil,-1
zagmag aahe utsav aahe,-1
zal zal pashchattap karu nka,-1
zunj aahe ladha aahe,-1
takkar honar savdhan raha,-1
tantani aahe pareshani aahe,-1
tingal aahe vel aahe,-1
tumdaar aahe garva nahi karaycha,-1
tekdi var disayla sundar aahe,-1
tham aaram kar,-1
thik aahe chukichi nahi,-1
dhabdaar aahe motha aahe,-1
taktaki aahe veg aahe,-1
tajeldaar aahe spasht aahe,0
tatastha raha bhedbhav karu naye,-1
tanta karu naye gondhal hoil,-2
tandurust raha vyayam kar,-1
tayar raha vel aahe,-1
tarbez ghe shik,-1
tallakh aahe abhyas kar,-1
taltalat aahe dukha aahe,-1
takadwan aahe shakti aahe,-1
taala lav surakshit raha,-1
tiraskar karu naye vait vatte,-1
trupt raha santushti aahe,-1
tejaswi aahe chamakdar aahe,0
tok aahe kami aahe,-2
todga kar himmat dakhav,-1
